CPF;RG;Nome;Nascimento;Cidade
16373783788;6759433242;Rodrigo Correia;30/11/2001;Arroio do Meio
38470245012;7916164950;Marcelo Dias;29/05/1988;Santa Vitória do Palmar
71182356812;6492475931;Renata Tavares;18/08/2005;Veranópolis
80835498952;8758363131;Noemi Medeiros;15/08/1984;Gramado
87538081728;5201822785;Caio Soares;02/02/1979;Erechim
38837702785;4628384608;Ana Aguiar;14/04/1984;Eldorado do Sul
65521843342;5012880168;Roberto Braga;07/01/1967;Palmeira das Missões
94321489977;3222173800;Sabrina Correia;04/08/2012;Estrela
65406268901;8555684745;Júlia Neves;27/09/2006;Tramandaí
28196028388;1758169512;Joana Gomes;14/01/1990;Quaraí
24405463640;3409447066;Jorge Farias;14/01/1974;Viamão
66433619463;5098303493;Teresa Ribeiro;06/03/1974;Caçapava do Sul
63134347130;6269788274;Lívia Rodrigues;22/08/1984;Taquari
43253326426;5288800263;Júlia Castro;23/09/1978;Estância Velha
64054255719;6947942253;Igor Barbosa;16/03/1997;Esteio
20375389528;1236003468;Paulo Dias;05/09/1957;Quaraí
32576849350;8832485994;Eduarda Correia;09/05/1981;Gramado
24325476437;7655257310;Simone Dias;24/02/1978;Parobé
50544091070;4951678469;Noemi Fonseca;21/06/1988;São Leopoldo
85031702978;7842155439;Débora Rodrigues;09/02/1980;Canela
94499821848;5769551360;Helena Nascimento;19/11/1999;Carlos Barbosa
57885659850;5513303277;Viviane Batista;10/07/2015;Cachoeira do Sul
63664215299;8290841776;Elaine Araújo;29/04/1986;Esteio
42959969405;4898218052;Paulo Martins;02/12/2007;Três Passos
74725741402;8182442671;Yasmin Nogueira;27/01/1971;Cachoeira do Sul
18203125339;7252081554;César Machado;18/08/2019;Palmeira das Missões
38231503526;7968998899;César Silva;24/04/2004;Jaguarão
55793593466;7244658404;Lucas Oliveira;28/01/1980;Santa Rosa
54877394779;2895772500;Márcio Machado;18/01/1973;Encruzilhada do Sul
66314309951;9021597488;Viviane Tavares;06/06/1968;Frederico Westphalen
96759022474;5532239618;Cíntia Aguiar;10/02/1977;Lajeado
69395772604;7780353671;Ivan Fernandes;26/07/1979;Santo Antônio da Patrulha
20610309284;8512738006;Natália Fernandes;07/03/1980;Cachoeirinha
11207983930;9373877507;Otávio Carvalho;07/03/2005;Cachoeirinha
10922314123;6444197381;William Correia;11/06/1958;São Lourenço do Sul
65805852574;9219593381;Rejane Peixoto;31/08/1986;Vera Cruz
98338524134;5207841508;Isabela Oliveira;19/08/1958;São Sebastião do Caí
57535019653;8894669368;Joana Freitas;05/09/2019;Flores da Cunha
74561339761;9402873163;Flávia Santos;01/06/2000;São Lourenço do Sul
69456508347;8442705247;Yasmin Moura;05/03/1981;Capão da Canoa
29835867480;5960203453;Fernando Teixeira;06/09/2019;Viamão
62641554391;7685639580;Igor Martins;28/04/2006;Erechim
97112539030;9727977193;Elaine Oliveira;09/07/1990;Montenegro
66415196088;6883343284;Carla Silva;03/01/2011;Gramado
24314058754;3162447032;Isabela Medeiros;16/08/2017;Soledade
34770657224;2012806195;Jéssica Moreira;01/04/1988;Taquari
94295333207;6016446197;Daniela Pereira;02/06/1962;Alegrete
96077566572;6513975171;Bianca Gomes;30/06/1993;Nova Santa Rita
94529555666;7740765475;Igor Neves;17/04/1971;Sapucaia do Sul
54879038738;1681542873;Viviane Barros;25/08/1987;Palmeira das Missões
77041708465;2000934831;Ivan Pereira;22/01/2015;Venâncio Aires
83197025589;9410659113;Yasmin Ramos;18/07/2020;Lagoa Vermelha
22965153441;7408995616;Rafael Braga;25/02/1998;Canoas

